sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_average	fraction_average	Ribosomes	CHX	strain
Total_FLAG-Upf1_+CHX	49	663	0.00121953462705785	921	0.00107019602830616	792	0.00114486532768201	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	50	436	0.000801986572243171	625	0.000726245947547613	530.5	0.000764116259895392	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	51	394	0.000724730985008737	560	0.000650716369002661	477	0.000687723677005699	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	52	413	0.0007596799411386	592	0.000687900161517099	502.5	0.00072379005132785	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	53	381	0.000700818541340936	678	0.00078783160389965	529.5	0.000744325072620293	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	54	963	0.00177136025016095	1396	0.00162214294844235	1179.5	0.00169675159930165	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	55	1108	0.00203807596799411	2170	0.00252152592988531	1639	0.00227980094893971	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	56	907	0.00166835280051504	1767	0.00205324254290661	1337	0.00186079767171082	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	57	884	0.00162604616941047	1937	0.00225078144063956	1410.5	0.00193841380502501	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	58	2121	0.00390140715533891	5003	0.00581345356092913	3562	0.00485743035813402	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	59	4768	0.00877034856985193	7628	0.0088636865406291	6198	0.00881701755524051	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	60	4994	0.00918605720592293	5293	0.00615043168059122	5143.5	0.00766824444325708	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	61	4008	0.00737239032465741	5766	0.00670005461369526	4887	0.00703622246917633	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	62	5410	0.00995125540329256	8654	0.0100558918881233	7032	0.0100035736457079	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	63	5040	0.00927067046813207	5335	0.00619923540826642	5187.5	0.00773495293819925	Total	+	FLAG-UPF1
Total_FLAG-Upf1_+CHX	64	2700	0.00496643060792789	2220	0.00257962560568912	2460	0.00377302810680851	Total	+	FLAG-UPF1
Total_OE3_+CHX	15	8659	0.0144504040238843	12074	0.0153501132760554	10366.5	0.0149002586499699	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	16	9843	0.016426299434934	15225	0.0193560936415391	12534	0.0178911965382366	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	17	9466	0.0157971503048953	15139	0.0192467587283587	12302.5	0.017521954516627	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	18	7259	0.0121140412067648	10813	0.013746958328142	9036	0.0129304997674534	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	19	6360	0.0106137625120573	10399	0.0132206251414362	8379.5	0.0119171938267467	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	20	7157	0.0119438204872318	9444	0.0120064990706532	8300.5	0.0119751597789425	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	21	10289	0.0171705978752449	10050	0.0127769288077155	10169.5	0.0149737633414802	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	22	10670	0.0178064223276181	9983	0.0126917492823307	10326.5	0.0152490858049744	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	23	7250	0.0120990217315119	7587	0.00964562774767536	7418.5	0.0108723247395936	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	24	5542	0.00924865909462603	7578	0.00963418572187741	6560	0.00944142240825172	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	25	6151	0.010264976920073	9903	0.0125900423863489	8027	0.011427509653211	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	26	6758	0.0112779570843527	11826	0.0150348218985118	9292	0.0131563894914322	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	27	11854	0.0197823177386678	21053	0.0267654410138143	16453.5	0.0232738793762411	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	28	55594	0.0927769674678166	96403	0.122560623666686	75998.5	0.107668795567251	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	29	136272	0.227414881296081	176314	0.224154370726721	156293	0.225784626011401	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	30	128668	0.214725093537954	114377	0.1454116205214	121522.5	0.180068357029677	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	31	62848	0.104882664521663	37642	0.0478556372318434	50245	0.0763691508767533	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	32	28090	0.0468774510949197	15363	0.0195315380371078	21726.5	0.0332044945660138	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	33	8317	0.0138796639642737	8255	0.0104948803291235	8286	0.0121872721466986	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	34	2939	0.00490469308536736	7415	0.00942695792131446	5177	0.00716582550334091	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	35	1975	0.0032959404027222	7082	0.00900360296679016	4528.5	0.00614977168475618	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	36	1980	0.00330428455564048	8767	0.0111458044634071	5373.5	0.00722504450952381	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	37	2565	0.00428055044707971	15647	0.0198925975178432	9106	0.0120865739824615	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	38	3632	0.00606119267984153	19070	0.0242443813296651	11351	0.0151527870047533	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	39	3681	0.00614296537844071	24278	0.0308655002580812	13979.5	0.018504232818261	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	40	2702	0.0045091802370407	21061	0.0267756117034125	11881.5	0.0156423959702266	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	41	1845	0.00307899242684681	10460	0.0132981766496223	6152.5	0.00818858453823455	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	42	1024	0.00170888251766457	4562	0.00579983574336299	2793	0.00375435913051378	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	43	717	0.00119655152848193	2313	0.00294060063007422	1515	0.00206857607927808	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	44	573	0.000956239924435351	1410	0.00179258404167949	991.5	0.00137441198305742	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	45	369	0.000615798485369362	1271	0.00161586830991108	820	0.00111583339764022	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	46	505	0.000842759444746688	1206	0.00153323145692586	855.5	0.00118799545083627	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	47	374	0.000624142638287646	1427	0.00181419675707562	900.5	0.00121916969768163	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	48	411	0.000685889369882948	1384	0.0017595293004854	897.5	0.00122270933518417	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	49	599	0.000999629519610428	1224	0.00155611550852177	911.5	0.0012778725140661	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	50	462	0.000770999729649445	1095	0.00139211313875109	778.5	0.00108155643420027	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	51	501	0.000836084122412061	1209	0.00153704546552518	855	0.00118656479396862	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	52	510	0.000851103597664972	1158	0.00147220731933677	834	0.00116165545850087	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	53	596	0.000994623027859458	1337	0.00169977649909608	966.5	0.00134719976347777	Total	+	FLAG-UPF1 UPF2/UPF3 EE
Total_OE3_+CHX	54	1170	0.00195253178287847	1839	0.00233798727138197	1504.5	0.00214525952713022	Total	+	FLAG-UPF1 UPF2/UPF3 EE
