size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_rep3	fraction_rep3	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo	CHX
M	Total_Upf1-FLAG	25	Distance from start (nt)	5099	0.000555011622154531	4977	0.000544707494155093	3426	0.000449062473948871	13502	0.000520239381011463	4500.66666666667	0.000516260530086165	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	26	Distance from start (nt)	1762	0.000191788679787465	1609	0.00017609691743933	832	0.000109054284391553	4203	0.000161943868937282	1401	0.000158979960539449	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	27	Distance from start (nt)	25633	0.00279007901758916	31215	0.00341632397630123	22539	0.0029542962931505	79387	0.00305882415496645	26462.3333333333	0.00305356642901363	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	28	Distance from start (nt)	8548	0.000930425445416147	12209	0.00133621334059464	9234	0.00121034526691298	29991	0.00115556949162456	9997	0.00115899468430792	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	29	Distance from start (nt)	1956	0.000212905027051238	1559	0.000170624670160295	978	0.000128191214104494	4493	0.000173117726180159	1497.66666666667	0.000170573637105342	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	30	Distance from start (nt)	20661	0.00224889098359184	22281	0.00243854283248335	17751	0.00232670985845488	60693	0.00233853419876527	20231	0.00233804789151002	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	31	Distance from start (nt)	6275	0.0006830158715473	5948	0.000650978536313942	4209	0.000551694090149095	16432	0.000633133869706737	5477.33333333333	0.000628562832670113	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	32	Distance from start (nt)	1378	0.000149991373863296	1049	0.000114807747914144	660	8.65094082913763e-05	3087	0.000118943783823314	1029	0.000117102843356272	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	33	Distance from start (nt)	21953	0.00238952150248253	21995	0.00240724157804727	17062	0.00223639927919312	61010	0.002350748380648	20336.6666666667	0.00234438745324098	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	34	Distance from start (nt)	5685	0.000618796052549227	3947	0.000431979200206982	2576	0.000337648842058463	12208	0.000470380859382902	4069.33333333333	0.000462808031604891	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	35	Distance from start (nt)	1985	0.00021606159442572	1324	0.000144905107948833	689	9.03105792617549e-05	3998	0.000154045107782834	1332.66666666667	0.000150425760545436	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	36	Distance from start (nt)	22586	0.0024584217489669	21183	0.00231837228223575	17019	0.00223076306016808	60788	0.00234219460027587	20262.6666666667	0.00233585236379024	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	37	Distance from start (nt)	5849	0.000636646985287675	5214	0.000570645946257716	3285	0.000430580918541168	14348	0.00055283621972689	4782.66666666667	0.000545957950028853	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	38	Distance from start (nt)	1847	0.000201040687609221	1221	0.000133632278554022	832	0.000109054284391553	3900	0.000150269114645586	1300	0.000147909083518266	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	39	Distance from start (nt)	26292	0.00286180928999548	23479	0.00256965787728901	19007	0.00249133988393059	68778	0.00265005363258824	22926	0.00264093568373836	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	40	Distance from start (nt)	9259	0.00100781576966637	7692	0.000841850521406665	5032	0.00065956870079122	21983	0.000847016909552288	7327.66666666667	0.000836411663954751	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	41	Distance from start (nt)	2421	0.000263518952193787	1648	0.000180365270316977	1125	0.000147459218678482	5194	0.000200127636274147	1731.33333333333	0.000197114480396415	UPF1-FLAG	Total	+CHX
M	Total_Upf1-FLAG	42	Distance from start (nt)	29092	0.00316658131235921	24246	0.0026536021505494	21903	0.00287093268152426	75241	0.00289907652693553	25080.3333333333	0.00289703871481096	UPF1-FLAG	Total	+CHX
