Sample	bin	fraction_ave	size	strain	Ribosomes
Total_FLAG-Upf1_CHX-	47	0.0105185725666375	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	63	0.0109703348523395	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	70	0.0113155766173671	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	75	0.011298734887561	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	78	0.0111474226783	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	80	0.0115685137560264	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	95	0.0106063899184849	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	97	0.0102002166580015	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	18	0.00829524347399371	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	26	0.00922630977664775	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	34	0.0108400360513804	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	45	0.00907377037028011	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	49	0.00977086650821969	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	57	0.0118185417787398	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	96	0.01222823102131	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	98	0.0110763165447946	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	1	0.00193032701912741	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	53	0.0109567341707435	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	55	0.0120682788882364	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	74	0.0112189859588286	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	87	0.0115184046945838	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	93	0.0114903949552259	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	15	0.00824316436268478	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	36	0.00870107654486848	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	50	0.0113867318488148	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	83	0.0111790190414066	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	77	0.0119723956277895	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	92	0.0114148749710512	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	2	0.00295925210724935	S	FLAG-UPF1	Total
Total_FLAG-Upf1_CHX-	3	0.00405781378114702	S	FLAG-UPF1	Total
