Sample	bin	fraction_ave	size	strain	Ribosomes
Total_DE572AA-FLAG	52	0.0129003831162706	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	55	0.0105322931443683	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	58	0.0128303669088766	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	61	0.0105214072009214	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	64	0.00966002350928516	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	66	0.00967401180631239	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	67	0.00961118887969413	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	68	0.00906772413802691	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	70	0.00827847744958667	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	71	0.00964182478053117	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	72	0.00852559661979389	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	74	0.0091040314389532	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	77	0.00925858402052827	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	79	0.0111869617919103	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	80	0.0126316380071564	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	81	0.0114236519327901	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	82	0.00947873383972914	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	95	0.00725652349207597	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	96	0.00698843871650448	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	6	0.0097151466290138	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	15	0.0106359523678433	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	20	0.0111162681991955	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	23	0.00930206763209023	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	28	0.00981362894557667	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	32	0.00986624165031276	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	45	0.0115873391857781	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	51	0.00963761240226399	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	54	0.0113514921712484	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	56	0.0137188517864363	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	59	0.00947608839871978	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	60	0.0176287916079876	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	69	0.00822933062087337	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	78	0.0103109185453665	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	87	0.00856191363760824	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	88	0.00793709317363242	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	93	0.00697674891892247	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	94	0.0067428141808073	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	27	0.008706619404458	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	75	0.0127888058190412	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	91	0.00858400770973046	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	5	0.00723096961427071	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	17	0.0100046678459398	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	24	0.00937681102559258	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	33	0.0120355758409088	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	44	0.00964474241035266	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	53	0.0125318008051972	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	92	0.00893628312580289	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	9	0.0115557828146785	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	63	0.00909115036165573	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	83	0.0100998483404683	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	3	0.0104860650595554	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	10	0.0106094623655074	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	12	0.0122455415389324	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	16	0.0111157964104347	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	25	0.00957548953948702	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	42	0.0107613974637606	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	62	0.00860141446268054	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	73	0.010193276222814	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	76	0.0091778849881577	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	97	0.00723600662264489	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	99	0.00705069947087043	M	DE572AA-FLAG	Total
Total_DE572AA-FLAG	100	3.25288458165645e-05	M	DE572AA-FLAG	Total
Total_WT_EV	1	0.00771159288388694	M	WT + EV	Total
Total_WT_EV	36	0.00915858694704549	M	WT + EV	Total
Total_WT_EV	37	0.00788535817593742	M	WT + EV	Total
Total_WT_EV	11	0.0117382271077487	M	WT + EV	Total
Total_WT_EV	30	0.00973622828537578	M	WT + EV	Total
Total_WT_EV	34	0.00912781933602703	M	WT + EV	Total
Total_WT_EV	35	0.0092382570075838	M	WT + EV	Total
Total_WT_EV	39	0.0125351301246543	M	WT + EV	Total
Total_WT_EV	61	0.00963575099417371	M	WT + EV	Total
Total_WT_EV	65	0.00851331753667594	M	WT + EV	Total
Total_WT_EV	71	0.00896116776721638	M	WT + EV	Total
Total_WT_EV	80	0.0122188689886252	M	WT + EV	Total
Total_WT_EV	84	0.0105236159563756	M	WT + EV	Total
Total_WT_EV	18	0.00946818521437325	M	WT + EV	Total
Total_WT_EV	29	0.0085414385609058	M	WT + EV	Total
Total_WT_EV	49	0.00839419819841944	M	WT + EV	Total
Total_WT_EV	56	0.0141202319801264	M	WT + EV	Total
Total_WT_EV	57	0.0122940850499158	M	WT + EV	Total
Total_WT_EV	58	0.0128129759729665	M	WT + EV	Total
Total_WT_EV	59	0.00934825099290772	M	WT + EV	Total
Total_WT_EV	82	0.010547166148121	M	WT + EV	Total
Total_WT_EV	94	0.0066451351415487	M	WT + EV	Total
Total_WT_EV	97	0.00748346660410986	M	WT + EV	Total
Total_WT_EV	21	0.012217831874715	M	WT + EV	Total
Total_WT_EV	23	0.00914734977664681	M	WT + EV	Total
Total_WT_EV	46	0.0119218692168824	M	WT + EV	Total
Total_WT_EV	78	0.0104827644105084	M	WT + EV	Total
Total_WT_EV	4	0.00830559145729877	M	WT + EV	Total
Total_WT_EV	5	0.0072178007998014	M	WT + EV	Total
Total_WT_EV	13	0.0108497295919451	M	WT + EV	Total
Total_WT_EV	20	0.0112189041775858	M	WT + EV	Total
Total_WT_EV	87	0.00884259084650254	M	WT + EV	Total
Total_WT_EV	89	0.00896775164218736	M	WT + EV	Total
Total_WT_EV	41	0.0120563985510131	M	WT + EV	Total
Total_WT_EV	85	0.0122870340818155	M	WT + EV	Total
Total_WT_EV	3	0.0109773112888074	M	WT + EV	Total
Total_WT_EV	7	0.0115885734163001	M	WT + EV	Total
Total_WT_EV	8	0.0100230979241253	M	WT + EV	Total
Total_WT_EV	9	0.0106862571329335	M	WT + EV	Total
Total_WT_EV	28	0.0103354854367493	M	WT + EV	Total
Total_WT_EV	31	0.00925945456470686	M	WT + EV	Total
Total_WT_EV	33	0.0120629068426812	M	WT + EV	Total
Total_WT_EV	38	0.00873724576002717	M	WT + EV	Total
Total_WT_EV	40	0.00902607183592042	M	WT + EV	Total
Total_WT_EV	47	0.00970665134523747	M	WT + EV	Total
Total_WT_EV	53	0.0123849875262118	M	WT + EV	Total
Total_WT_EV	54	0.0109655425306978	M	WT + EV	Total
Total_WT_EV	55	0.0101747203623264	M	WT + EV	Total
Total_WT_EV	60	0.0206490048941907	M	WT + EV	Total
Total_WT_EV	68	0.00868839301081793	M	WT + EV	Total
Total_WT_EV	73	0.01092667911156	M	WT + EV	Total
Total_WT_EV	74	0.00912090237365139	M	WT + EV	Total
Total_WT_EV	79	0.0112211297843281	M	WT + EV	Total
Total_WT_EV	81	0.0127358150334193	M	WT + EV	Total
Total_WT_EV	88	0.00794443655669766	M	WT + EV	Total
Total_WT_EV	26	0.00792467900253185	M	WT + EV	Total
Total_WT_EV	50	0.00886286578838268	M	WT + EV	Total
Total_WT_EV	12	0.0126009976969611	M	WT + EV	Total
Total_WT_EV	64	0.00936824293700238	M	WT + EV	Total
Total_WT_EV	75	0.0122013958918886	M	WT + EV	Total
Total_WT_EV	76	0.00940856063279684	M	WT + EV	Total
Total_WT_EV	0	0.0128116237342894	M	WT + EV	Total
Total_WT_EV	17	0.0098365351616211	M	WT + EV	Total
Total_WT_EV	51	0.0102051955676464	M	WT + EV	Total
Total_WT_EV	70	0.00776176367749506	M	WT + EV	Total
Total_WT_EV	48	0.00916925884607638	M	WT + EV	Total
Total_WT_EV	95	0.00740003693546614	M	WT + EV	Total
Total_WT_EV	44	0.00978949284630633	M	WT + EV	Total
Total_WT_EV	69	0.00774276775762149	M	WT + EV	Total
Total_WT_EV	22	0.0146148964213816	M	WT + EV	Total
Total_WT_EV	25	0.00903358605590735	M	WT + EV	Total
Total_WT_EV	6	0.0100201322233313	M	WT + EV	Total
Total_WT_EV	10	0.00998132888515941	M	WT + EV	Total
Total_WT_EV	14	0.0113752701343675	M	WT + EV	Total
Total_WT_EV	27	0.00841272471259199	M	WT + EV	Total
Total_WT_EV	42	0.0104442959346087	M	WT + EV	Total
Total_WT_EV	72	0.00784315021173082	M	WT + EV	Total
Total_WT_EV	91	0.00764705661668608	M	WT + EV	Total
Total_WT_EV	98	0.00664823713480676	M	WT + EV	Total
Total_WT_EV	99	0.00647733461237699	M	WT + EV	Total
Total_WT_EV	19	0.0093782110340337	M	WT + EV	Total
Total_WT_EV	32	0.00952851870393795	M	WT + EV	Total
Total_WT_EV	43	0.0102778949145304	M	WT + EV	Total
Total_WT_EV	62	0.00783530104515774	M	WT + EV	Total
Total_WT_EV	92	0.00879592392367103	M	WT + EV	Total
Total_WT_EV	96	0.0068205056950075	M	WT + EV	Total
Total_WT_EV	93	0.00701119722740576	M	WT + EV	Total
Total_WT_EV	45	0.0107918689414217	M	WT + EV	Total
Total_WT_EV	2	0.0117739878967243	M	WT + EV	Total
Total_WT_EV	15	0.0100155250483834	M	WT + EV	Total
Total_WT_EV	66	0.0103373297828466	M	WT + EV	Total
Total_WT_EV	16	0.011193914463229	M	WT + EV	Total
Total_WT_EV	24	0.00877379974979906	M	WT + EV	Total
Total_WT_EV	52	0.0181455533319431	M	WT + EV	Total
Total_WT_EV	63	0.00889865377303197	M	WT + EV	Total
Total_WT_EV	67	0.00962607926949503	M	WT + EV	Total
Total_WT_EV	77	0.00900736374536259	M	WT + EV	Total
Total_WT_EV	83	0.0104156216930096	M	WT + EV	Total
Total_WT_EV	86	0.00919778747444178	M	WT + EV	Total
Total_WT_EV	90	0.00718818659089739	M	WT + EV	Total
Total_WT_EV	100	3.60081436234818e-05	M	WT + EV	Total
Total_Upf1-FLAG-upf2del	0	0.012645262222899	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	1	0.00817026720121938	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	2	0.0113250055524888	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	9	0.0114255130312942	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	23	0.00953394622257361	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	26	0.00798547560133649	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	37	0.00749585250863222	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	38	0.00912062916532794	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	49	0.00841968766991461	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	50	0.00888731438803755	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	51	0.00990838838270475	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	55	0.0101648159053701	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	60	0.0166553618327946	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	64	0.00939930147355641	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	68	0.00884944316346003	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	73	0.0107880015158156	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	81	0.011588178353734	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	82	0.00946779419863196	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	83	0.0104633311224864	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	85	0.0130389602713587	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	91	0.00842195227618786	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	92	0.00911514832171429	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	93	0.00692785472995716	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	96	0.00732986361441292	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	99	0.00773443474263011	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	46	0.0128218807341454	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	27	0.0086671546871638	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	36	0.00898719388990748	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	56	0.0135598006281827	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	8	0.00968899104113745	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	47	0.0102092788700378	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	58	0.0133345016386886	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	89	0.00878374824938471	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	4	0.00845717897815255	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	11	0.011637424105762	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	15	0.0106823491222422	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	17	0.0100776046228011	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	18	0.00962136151833529	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	24	0.00936218949456279	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	30	0.0102677632321624	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	33	0.0121872572998099	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	34	0.00947353343384143	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	35	0.00921255432183101	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	39	0.0122060332364853	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	41	0.0123461163692633	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	42	0.010540457347853	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	44	0.0096455319825574	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	45	0.011616375353991	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	48	0.00943955735434467	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	54	0.0114036203177377	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	57	0.0120806771724344	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	61	0.0099237963194934	M	UPF1-FLAG/upf2Δ	Total
Total_Upf1-FLAG-upf2del	63	0.00911800147631988	M	UPF1-FLAG/upf2Δ	Total
