sample	psite_region	Frame	Freq	fraction_overall	Freq_region_sum	fraction_by_region	strain
IP_DE572AA-FLAG_1	3utr	2	8054	0.00280597749155925	26006	0.30969776205491	DE572AA-FLAG
IP_DE572AA-FLAG_1	5utr	2	5170	0.00180120482137588	12352	0.418555699481865	DE572AA-FLAG
IP_DE572AA-FLAG_1	cds	2	118125	0.0411542204110301	2831943	0.0417116446199659	DE572AA-FLAG
IP_DE572AA-FLAG_2	3utr	0	18965	0.00469895238015008	51068	0.371367588313621	DE572AA-FLAG
IP_DE572AA-FLAG_2	5utr	0	5973	0.00147992842428876	22227	0.268727223646916	DE572AA-FLAG
IP_DE572AA-FLAG_2	cds	0	3060638	0.758333362239798	3962711	0.772359629556634	DE572AA-FLAG
IP_DE572AA-FLAG_2	3utr	1	16177	0.00400817045366137	51068	0.316773713480066	DE572AA-FLAG
IP_DE572AA-FLAG_2	5utr	1	7231	0.00179162270819221	22227	0.325325055113151	DE572AA-FLAG
IP_DE572AA-FLAG_2	cds	1	723043	0.179148147946262	3962711	0.182461703616539	DE572AA-FLAG
IP_DE572AA-FLAG_2	3utr	2	15926	0.0039459802587013	51068	0.311858698206313	DE572AA-FLAG
IP_DE572AA-FLAG_2	5utr	2	9023	0.00223562601244894	22227	0.405947721239933	DE572AA-FLAG
IP_DE572AA-FLAG_2	cds	2	179030	0.0443582095764972	3962711	0.0451786668268264	DE572AA-FLAG
IP_DE572AA-FLAG_3	3utr	0	11932	0.00443614618908571	32800	0.363780487804878	DE572AA-FLAG
IP_DE572AA-FLAG_3	5utr	0	3781	0.00140572148348417	14008	0.269917190177042	DE572AA-FLAG
IP_DE572AA-FLAG_3	cds	0	2028049	0.753999483961539	2642914	0.767353383424508	DE572AA-FLAG
IP_DE572AA-FLAG_3	3utr	1	10444	0.00388292916517023	32800	0.318414634146341	DE572AA-FLAG
IP_DE572AA-FLAG_3	5utr	1	4580	0.00170277820533126	14008	0.326956025128498	DE572AA-FLAG
IP_DE572AA-FLAG_3	cds	1	488468	0.181605385240556	2642914	0.184821753564437	DE572AA-FLAG
IP_DE572AA-FLAG_3	3utr	2	10424	0.00387549345248319	32800	0.31780487804878	DE572AA-FLAG
IP_DE572AA-FLAG_3	5utr	2	5647	0.00209947347718463	14008	0.40312678469446	DE572AA-FLAG
IP_DE572AA-FLAG_3	cds	2	126397	0.0469925888251648	2642914	0.0478248630110552	DE572AA-FLAG
IP_Upf1-FLAG-upf2del_1	3utr	0	2794	0.000872271809136688	5859	0.476873186550606	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	5utr	0	1780	0.000555706449628957	8902	0.199955066277241	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	cds	0	2206239	0.688775978496034	3188369	0.691964763175153	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	3utr	1	1408	0.000439570045549197	5859	0.24031404676566	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	5utr	1	2897	0.000904427856502858	8902	0.325432487081555	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	cds	1	705691	0.220312943901746	3188369	0.221332913473942	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	3utr	2	1657	0.000517306509570327	5859	0.282812766683734	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	5utr	2	4225	0.00131902233128221	8902	0.474612446641204	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_1	cds	2	276439	0.0863027726005501	3188369	0.0867023233509045	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	3utr	0	1773	0.000868741618211333	3962	0.447501261988895	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	5utr	0	1209	0.000592390646597576	5667	0.213340391741662	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	cds	0	1408823	0.690300717875547	2031254	0.69357303419464	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	3utr	1	1029	0.00050419352799744	3962	0.259717314487633	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	5utr	1	1955	0.000957918704795914	5667	0.344979707076054	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	cds	1	464553	0.227623533539159	2031254	0.228702565016487	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	3utr	2	1160	0.00056838143097865	3962	0.292781423523473	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	5utr	2	2503	0.0012264299325341	5667	0.441679901182283	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_2	cds	2	157878	0.0773576927241787	2031254	0.0777244007888723	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	3utr	0	2355	0.0011423177554499	4771	0.493607210228464	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	5utr	0	1225	0.000594199257081157	5992	0.204439252336449	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	cds	0	1476448	0.716166779362417	2050835	0.71992529871979	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	3utr	1	1173	0.000568976104943835	4771	0.245860406623349	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	5utr	1	1927	0.000934711810935013	5992	0.321595460614152	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	cds	1	417939	0.202725749636932	2050835	0.203789675912494	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	3utr	2	1243	0.000602930348205615	4771	0.260532383148187	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	5utr	2	2840	0.00137757215519223	5992	0.473965287049399	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG-upf2del_3	cds	2	156448	0.0758867635688432	2050835	0.0762850253677161	UPF1-FLAG/upf2Δ
