sample	length	count_rep1	fraction_rep1	count_rep2	fraction_rep2	count_rep3	fraction_rep3	count_average	fraction_average	Ribosomes	CHX	strain
Total_Upf1-FLAG-upf2del	62	3515	0.000536178961435843	7259	0.00080794666016065	5199	0.00067027775206453	5324.33333333333	0.000671467791220341	Total	+	UPF1-FLAG/upf2Δ
Total_Upf1-FLAG-upf2del	63	1670	0.000254742209273928	2813	0.000313094634940337	1721	0.000221878825024631	2068	0.000263238556412966	Total	+	UPF1-FLAG/upf2Δ
Total_Upf1-FLAG-upf2del	64	557	8.49649165063342e-05	969	0.000107852364471094	459	5.9176281630625e-05	661.666666666667	8.39978542026843e-05	Total	+	UPF1-FLAG/upf2Δ
IP_Upf1-FLAG	15	7593	0.00599580222775678	6467	0.00145361644126284	5186	0.00182628912558573	6415.33333333333	0.00309190259820178	IP	+	UPF1-FLAG
IP_Upf1-FLAG	16	12444	0.00982638784699136	12687	0.00285171359058321	9625	0.00338951655105334	11585.3333333333	0.00535587266287597	IP	+	UPF1-FLAG
IP_Upf1-FLAG	17	10395	0.00820839775550267	11312	0.00254264870628811	8425	0.00296692747455838	10044	0.00457265797878305	IP	+	UPF1-FLAG
IP_Upf1-FLAG	18	8898	0.00702629372087184	9684	0.00217671588328271	7566	0.00266442412730073	8716	0.00395581124381843	IP	+	UPF1-FLAG
IP_Upf1-FLAG	19	8851	0.00698918023414662	8948	0.00201128187976185	7026	0.002474259042878	8275	0.00382490705226216	IP	+	UPF1-FLAG
IP_Upf1-FLAG	20	8499	0.00671122390803436	10741	0.00241430248888265	6841	0.00240910989358503	8693.66666666667	0.00384487876350068	IP	+	UPF1-FLAG
IP_Upf1-FLAG	21	10013	0.00790675196977857	17913	0.00402638492536589	8652	0.00304686724152867	12192.6666666667	0.00499333471222438	IP	+	UPF1-FLAG
IP_Upf1-FLAG	22	8505	0.00671596179995673	21486	0.00482950407561053	9635	0.0033930381266908	13208.6666666667	0.00497950133408602	IP	+	UPF1-FLAG
IP_Upf1-FLAG	23	7206	0.00569020819876404	19372	0.00435433086441065	10236	0.00360468482250202	12271.3333333333	0.00454974129522557	IP	+	UPF1-FLAG
IP_Upf1-FLAG	24	8483	0.00669858952957471	24352	0.00547370768171217	15657	0.00551373097556801	16164	0.00589534272895163	IP	+	UPF1-FLAG
IP_Upf1-FLAG	25	12750	0.0100680203350321	38611	0.00867876672546767	27712	0.00975899040652365	26357.6666666667	0.00950192582234115	IP	+	UPF1-FLAG
IP_Upf1-FLAG	26	15688	0.012388008079685	52699	0.0118453893363399	37973	0.0133724791681193	35453.3333333333	0.0125352921947148	IP	+	UPF1-FLAG
IP_Upf1-FLAG	27	33984	0.0268354198482927	136197	0.0306136073064287	111158	0.0391451304708558	93779.6666666667	0.0321980525418591	IP	+	UPF1-FLAG
