CHX	size	sample	distance	reg	reads_rep1	fraction_rep1	reads_rep2	fraction_rep2	reads_sum	fraction_sum	reads_ave	fraction_ave	strain	ribo
-CHX	S	IP_FLAG-Upf1	56	Distance from start (nt)	18	3.27869449671129e-05	6	3.34382924178672e-05	24	3.29473912530167e-05	12	3.311261869249e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	57	Distance from start (nt)	167	0.000304189989417103	23	0.000128180120935158	190	0.000260833514086383	95	0.00021618505517613	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	58	Distance from start (nt)	36	6.55738899342257e-05	34	0.000189483657034581	70	9.60965578212988e-05	35	0.000127528773484403	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	59	Distance from start (nt)	53	9.65393379587212e-05	9	5.01574386268008e-05	62	8.51140940702933e-05	31	7.3348388292761e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	60	Distance from start (nt)	119	0.000216758136171468	56	0.000312090729233427	175	0.000240241394553247	87.5	0.000264424432702448	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	61	Distance from start (nt)	36	6.55738899342257e-05	20	0.000111460974726224	56	7.68772462570391e-05	28	8.85174323302249e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	62	Distance from start (nt)	49	8.92533501882517e-05	17	9.47418285172904e-05	66	9.0605325945796e-05	33	9.1997589352771e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	63	Distance from start (nt)	257	0.000468124714252667	75	0.00041797865522334	332	0.000455772245666732	166	0.000443051684738004	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	64	Distance from start (nt)	47	8.56103563030169e-05	37	0.000206202803243514	84	0.000115315869385559	42	0.000145906579773266	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	65	Distance from start (nt)	6	1.09289816557043e-05	4	2.22921949452448e-05	10	1.3728079688757e-05	5	1.66105883004745e-05	FLAG-UPF1	IP
-CHX	S	IP_FLAG-Upf1	66	Distance from start (nt)	131	0.000238616099482877	41	0.000228494998188759	172	0.00023612297064662	86	0.000233555548835818	FLAG-UPF1	IP
