,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YFR033C_mRNA,201,243,192,108,161,113,23,36,36,132,149,147,82,14,52,68,16,127,9,44.18,64.86,20,108,28,39,11,201,48.4,68.48,20,44,0,8,4
YDR529C_mRNA,258,187,112,134,98,88,17,37,25,76,125,118,38,12,41,46,5,26,1,11,18,7,25,0,4,4,61,11,20,9,30,0,29,0
YJL166W_mRNA,214,119,106,114,89,87,8,32,29,79,95,100,19,0,25,25,0,16,5,11,11,0,16,0,5,5,55,6,12,6,18,0,29,0
YGR183C_mRNA,61,43,23,15.86,23,29,3,11,5,15.46,28,52,0,7,24,26,2,0,0,0,0,0,17,4,4,0,12,28,42,14,11,0,6,0
YGR183C_pre-mRNA,0,0,0,12.14,0,0,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL120W_mRNA,8,9,2,3,3,3,0,0,4,7,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1,0,0,0,0
YIL121W_mRNA,67,49,36,24,28,29,6,16,5,29,50,44,0,0,11,11,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,4,0
YBR043C_mRNA,117,134,88,75,130,120,2,12,9,148,233,178,0,0,12,13,1,2,2,0,0,0,0,0,0,0,3,0,1,1,4,0,9,0
YHR074W_mRNA,399,430,371,203,230,204,15,105,73,251,378,336,32,4,75,99,24,35,6,22.86,36.85,14,26,18,42,24,154,41,72,31,54,0,31,0
YDL103C_mRNA,380,400,338,137,210,178,22,67,57,186,360,282,22,11,30,35,5,41,9,4,7,3,28,3,3,0,103,44,60,16,30,0,13,0
