,Q5017_27-32nt,Q5019_27-32nt,Q5020_27-32nt,Q5033_27-32nt,Q5034_27-32nt,Q5035_27-32nt,Q5041_27-32nt,Q5042_27-32nt,Q5043_27-32nt,Q5334_27-32nt,Q5337_27-32nt,Q5338_27-32nt,R4816_27-32nt,R4816_37-43nt,R4816minus_20-23nt,R4816minus_20-32nt,R4816minus_27-32nt,R4819_27-32nt,R4819_37-43nt,R4819minus_20-23nt,R4819minus_20-32nt,R4819minus_27-32nt,R4869_27-32nt,R4869minus_20-23nt,R4869minus_20-32nt,R4869minus_27-32nt,R4870_27-32nt,R4870minus_20-23nt,R4870minus_20-32nt,R4870minus_27-32nt,R4902_27-32nt,R4902_37-43nt,R4903_27-32nt,R4903_37-43nt
YMR246W_mRNA,1335.17,1503.64,1205,512,789,727.7,67,371,290,956.75,1409.17,1218.34,184,15,336.99,374.99,38,267.98,15,147.01,169.99,23,152,47,61,14,384.82,148,219,71,98,42,63,1
YFR019W_mRNA,126,132,116,62,80,71,3,27,32,91,134,115,5,5,17,19,2,1,0,5,5,0,12,16,16,0,27,15,25.01,10,16,5,16,0
YDL045C_mRNA,55,51,36,16,22,27,2,14,11,24,37,39,0,0,16,16,0,3,0,2,2,0,0,0,0,0,11,2,5,3,0,0,0,0
YIL019W_mRNA,77,115.95,72,25,51,40,5,23,19,75,81,81,2,0,4,6,2,1,0,5,5,0,8,0,5,5,15,8,10.64,3,1,0,12,0
YDR021W_mRNA,78,75,84,35,50,56,6,16,9,55,95,75,0,0,7,7,0,1,0,9,9,0,0,0,10,10,16,9.01,22.16,13,0,0,0,0
YNL023C_mRNA,59,102,72,38,64,44,7,15,19,78,87,59,4,0,5,5,0,8,0,5,5,0,6,20.83,29.97,9,21,23,26,3,9,0,4,0
YDL166C_mRNA,148,187,155,42,102,72,15,58,51,125,144,121,7,0,32,41,9,16,0,4,4,0,7,19,19,0,25,24,33,9,35,6,2,0
YJL157C_mRNA,262,267,219,113,133,149,11,49,46,132,188,176,11,0,42,48,6,26,6,19,21,2,16,0,12,12,75,22,38,16,14,0,16,0
YLR238W_mRNA,41,33,31,16,13,22,1,11,6,19,25,28,0,0,1.02,1.01,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0
YNL127W_mRNA,102,76,57,44,35,59,7,12,15,50,59,75,1,2,4.65,4.67,0,7,0,8,8,0,17,5,5,0,15,4,4,0,0,0,0,0
YMR052W_mRNA,18,16,8,9,7,9,0,5,0,9,11,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
YFR008W_mRNA,39,38,29,15,30,34,0,3,2,17,30,21,8,0,0,0,0,5,0,3,6,3,0,0,0,0,3,0,2,2,1,0,0,0
YMR029C_mRNA,144,129,92,45,88,51,1,24,16,66,112,101,1,0,21.22,25.07,4,11,0,12.29,13.1,1,6,0,0,0,30,7,17,10,22,0,19,0
YKL182W_mRNA,12329,11762,8891,4356,6269,5939,543,2276,1879,7419,10685.99,9417,588,93,1152.82,1395.46,243,740,80,384.82,476.61,92,683,261.7,426.94,165,1976,714.83,1063.92,349,538,31,363,51
YPL231W_mRNA,6733,5566,4184,2334,3068,2877,267,1205,906,3492,4738,4429,521,67,1005.03,1171.04,166,563,35,376.86,439.88,63,535,206.26,382.38,176,1588,541.5,781.93,240,472,22,189,26
YBR041W_mRNA,182,222,158,82,114,114,13,37,44,118,200,144,10,0,11.99,21,9,19,2,2,5,3,19,0,0,0,57,13,13,0,29,0,2,0
YKL187C_mRNA,5,0,2,0,3,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
YER183C_mRNA,124,96,92,42,48,49,4,29,15,76,102,73,0,0,2,2,0,13,0,2,2,0,9,13,13,0,18,15,22,7,8,0,3,0
YKL060C_mRNA,40891.97,42762,33837,16460,20996,21174,3657,9802,7405,27604,40079,35431,1865,176,3523.93,4161.01,637,3187.84,174,1293,1619,326,2946,1460,2370,910,9606,2990.99,4574.98,1584,2428,44,1801,85
YLR377C_mRNA,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
YJL155C_mRNA,93,81,70,45,36,46,4,19,8,56,75,67,7,0,3,3,0,12,0,3.01,3,0,0,0,0,0,13,6,7,1,13,1,0,0
YDR339C_mRNA,196,231,233,100,155,141,23,66,42,141,232,199,12,0,16,16,0,10,0,19,19,0,28,0,5,5,45,15,26,11,4,8,22,0
YLR051C_mRNA,64,56,36,18,34,26,3,12,16,41,41,45,1,0,5.6,9.71,4,11,3,3,3,0,0,0,0,0,15,0,14,14,0,0,0,0
YMR277W_mRNA,138,111,125,63,92,60,14,41,24,73,92,113,30,11,22,34,12,17,0,18.02,20.02,2,7,0,0,0,64,9,21,12,15,0,0,0
YPR062W_mRNA,201,196,153,94,91,122,5,39,31,128,161,159,14,0,18.99,26.91,8,5,0,11,18,7,23,8,27,19,57,30,44,14,28,0,20,0
YER056C_mRNA,1042.4,1057.02,918.07,461.77,549,542.64,61,270,216,787.46,1040.97,922.86,29.68,8,181.55,203.44,22,63,6.99,56,63,7,81.11,58.88,82,23,191.76,134.23,176.48,42,49,0,35,1
YER060W_mRNA,84.92,118.99,102,40,70,60.92,1,29,15,68,120,100.87,6,0,8,8,0,1,0,1,1,0,0,0,0,0,16,2.93,2.92,0,6,0,0,0
YER060W-A_mRNA,3.68,7.99,5.93,1.23,0,2.43,0,0,0,9.54,3.03,7.28,1.32,0,1.3,1.35,0,0,0.01,0,0,0,0.89,1.12,1,0,1.24,0,0,0,0,0,0,0
YDR539W_mRNA,170,155,124,68,85,76,6,39,19,128,163,132,9,7,11,22,11,8,2,1,1,0,0,4,4,0,22,17,24,7,12,0,9,0
YOR388C_mRNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR028C_mRNA,125,165,99,53,99,91,8,17,12,126,205,182,10,0,40,44,4,17,0,10,11,1,0,0,0,0,12,8,20,12,5,0,2,0
YBR101C_mRNA,543,623,521,254,374,331,23,136,94,401,552,468,35,0,40,47,7,72,14,28,28,0,28,25,40,15,104,14,33,19,24,9,17,0
YMR058W_mRNA,195,715,1116,291,281,117,135,318,241,368,236,316,38,3,81,113,32,112,5,21,31,10,173,109.99,152,42,203,93,141,48,69,0,54,4
YMR319C_mRNA,126,179,131,76,94,66,10,32,44,91,158,113,22,0,18,21,3,15,0,21.07,24.29,3,42,5,19,14,39,21,28,7,9,0,9,0
YFL041W_mRNA,295,324,308,158,174,149,11,76,40,184,284,252,21,0,32,39,7,22,0,4,7,3,36,18,29,11,79,13,31,18,12,9,39,0
YOR390W_mRNA,188.31,170.03,141.47,64.27,123.69,126.92,0,51.02,27.6,137.43,137.54,184.97,3,0,12.5,16,3.5,11.5,0,7,7,0,0,0,3,3,41,6.5,16.5,10,5,0,6,0
YPL279C_mRNA,90.69,96.97,125.53,49.73,43.31,35.08,13,16.98,18.4,68.57,161.46,92.03,3,0,12.5,16,3.5,11.5,0,7,7,0,0,0,3,3,0,6.5,16.5,10,5,0,6,0
YPR104C_mRNA,67,56,55,22,41,34,3,15,15,29,64,56,10,0,11,15,4,3,0,2,2,0,20,0,0,0,19,3,4,1,9,0,0,0
YGR131W_mRNA,4,1,3,2,6,0,0,3,0,4,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR040W_mRNA,1,2,1,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCR089W_mRNA,3,3,1,2,1,1,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,0,0
YNL325C_mRNA,56,53,30,19,29,33,5,13,9,29,42,45,5,0,13,17,4,2,0,2,2,0,2,0,0,0,7,9,9,0,5,0,0,0
YDR130C_mRNA,52,82,56,31,35,33,2,14,8,44,61,71.71,13,0,14,15,1,7,0,4,5,1,26,4,4,0,19,1,6,5,6,0,0,0
YJR093C_mRNA,64,90,90,31,51,40,1,14,16,45,80,54,0,0,6,9,3,5,0,2.01,2.05,0,0,0,2,2,17,4,10,6,25,0,1,0
YER032W_mRNA,116,125,127,65,80,68,8,18,20,85,132,90,6,0,18,19,1,16,4,5,5,0,0,0,0,0,28,13,19,6,0,0,6,0
YIL065C_mRNA,97,98,65,57,61,54,6,21,27,61,83,73,11,0,8,20,12,18,0,3,5,2,0,0,0,0,20,6,11,5,13,0,0,0
YDR534C_mRNA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR382W_mRNA,4,12,22,7,4,8,9,8,4,8,13,13,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,14,0,1,0
YOR383C_mRNA,2,1,8,5,3,0,0,3,5,7,9,10,0,0,0,0,0,6,0,0,3.1,3,0,0,0,0,3,0,0,0,0,0,0,0
YIL131C_mRNA,160,181,147,64.99,78,81,10,43,17,88,136,114,5,0,15,25,10,15,0,8,8,0,7,20,38,18,26,17,30,13,1,0,1,1
YNL068C_mRNA,109,143,97,76.98,69,61,0,21,22,70,97,80,3,0,9,10,1,8,12,0,3,3,0,0,9,9,24,7,20,13,9,0,1,0
YLR342W_mRNA,5653,5915.97,4488,2362,3330.69,3185,241,1038,927,3708.01,5491.09,5290.99,439,79,877.04,1028.07,151,468.68,58,226.3,288.6,62,362.96,201.15,311.97,111,1410.09,486.01,731.71,246,346.96,14,275,10
YMR306W_mRNA,6,4,5,0,7,9,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0.97,0.96,0,0,0,0,0,0,0,0,0
YPL221W_mRNA,189,230,144,73,139,111,10,39,21,126,175,157,6,0,29,40,11,16,4,26,28,2,8,7,7,0,38,23.01,29.05,6,15,0,7,0
YAL053W_mRNA,556,615,459,262,367,341,28,112,76,401,670,534,32,5,68.03,84.05,16,59,0,38.98,38.99,0,42,55,80,25,118,62.02,91.12,29,28,0,27,0
YGL139W_mRNA,310,286,224,97,128,170,15,70,36,203,283,256,8,0,20,22,2,7,2,16.25,16.16,0,11,3,13,10,57,7,16,9,11,0,14,3
YLR404W_mRNA,37,27,17,4,23,13,2,5,5,16,25,26,1,0,4,6,2,0,1,0,0,0,0,0,0,0,8,5,5,0,0,0,0,0
YAR050W_mRNA,0,0,0,0,0,0,0,0,0,2,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR102W_mRNA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIR019C_mRNA,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YHR211W_mRNA,0,0,0,0,3,0,0,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL063C_mRNA,9,11,10,0,0,6,0,2,0,3,14.38,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0
YBR008C_mRNA,10,6,11,6,6,13,0,0,3,5,14,20,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0
YIL134W_mRNA,23,27,26,20,16,9,0,5,1,23,29,31,0,0,0,1,1,7,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,0
YIL098C_mRNA,51,44,42,30,27,18,2,15,10,29,64,33,0,0,6.98,6.98,0,5,0,4.03,4.03,0,0,0,0,0,11,9,9,0,8,0,2,0
YDR236C_mRNA,48,48,19,13,26,25,5,6,6,26,33,20,2,0,3,3,0,7,0,2,2,0,6,0,0,0,6,4,4,0,2,0,1,0
YHR176W_mRNA,6,20,10,9,11,9,0,3,2,9,13,9,0,0,2,2,0,0,3,0,0,0,7,0,0,0,5,0,0,0,7,0,0,0
YER182W_mRNA,78,93,52,40,44,38,0,13,17,40,57,68,6,0,12,14,2,9,0,3,3,0,6,8,8,0,38,7,11,4,7,0,4,0
YDR070C_mRNA,3,3,1,10,2,10,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YBR047W_mRNA,0,3,4,5,0,1,0,4,0,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
YLR077W_mRNA,135,109,80,42,30,46,3,35,18,68,92,68,0,0,8,12,4,5,4,8,8,0,0,0,6,6,17,15,16,1,20,1,1,0
YLR454W_mRNA,274,350,249,89.89,177,206,12,65,32,221,312,264,2,0,17,18,1,8,1,4,4,0,35,0,0,0,63,21.15,31.62,10,25,0,9,0
YPL103C_mRNA,79,55,53,38,34,31,4,7,12,41,54,64,13,0,12,17,5,0,0,2,2,0,0,0,0,0,12,3,5,2,7,0,0,0
YFL046W_mRNA,54,32,34,21,19,20,9,17,9,31,41,35,0,0,0,0,0,1,0,4,4,0,1,0,0,0,8,0,2,2,13,0,0,0
YJL161W_mRNA,11,3,2,8,5,7,0,0,0,7,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,5,1,0
YPL222W_mRNA,43,40,20,13,28,18,2,9,6,29,33,24,6,0,7,11,4,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0
YNL168C_mRNA,292,347,272,210,254,202,21,73,62,304,420,398,15,0,35,38,3,32,5,6,6,0,28,19,19,0,70,24,36,12,12,3,28,0
YDL222C_mRNA,5,1,1,3,9,2,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YKR049C_mRNA,29,26,16,12,10,24,2,7,1,14,16,29,0,0,1,1,0,5,2,0,0,0,0,0,0,0,9,2,2,0,5,0,0,0
YGR052W_mRNA,9,9,6,5,8,7,0,1,2,4,14,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER004W_mRNA,247.44,158,124.88,108.87,115.08,110.33,15,42,20,121.97,179.61,128.14,1,0,26,28,2,25,0,17.05,18.08,1,25,26,28,2,56,33,41,8,8,0,25,0
YMR020W_mRNA,40,48,30,20,19,30,2,2,8,35,42,52,0,0,2,2,0,1,1,1,1,0,6,0,0,0,7,0,3,3,0,0,0,0
YBL013W_mRNA,36,30,34,25,22,21,1,4,5,25,39,32,0,0,5,8,3,0,0,0,0,0,0,10.97,16.97,6,11,3,5,2,0,0,0,0
YDR110W_mRNA,81,99,70,28,48,48,2,29,23,66,89,74,0,0,8,8,0,7,3,5,5,0,0,0,0,0,15,5,14,9,0,0,0,0
YNL256W_mRNA,161,190,125,90,97,93,2,25,36,104,171,175,8,0,17,19,2,13,0,8,8,0,5,6,6,0,45,24,35,11,11,0,0,0
YGR267C_mRNA,178,190,168,78,111,98,16,41,35,134,171,168,42,3,20,38,18,16,0,1,1,0,19,5,21,16,50,41,54,13,20,0,12,1
YMR113W_mRNA,99,104,90,42,58,42,2,19,22,71,96,87,5,0,13,14,1,6,0,9,9,0,6,0,0,0,18,14,15,1,0,0,0,0
YKR009C_mRNA,15,24,17,5,21,11,1,2,5,9,22,26,0,3,2,2,0,0,0,2,2,0,0,0,0,0,1,0.98,0.94,0,0,0,0,0
YNR047W_mRNA,147,174,127,83,89,85,15,37,26,99,148,144,10,9,7,7,0,8,5,5,5,0,1,0,0,0,31,21,28,7,34,0,5,0
YNL135C_mRNA,864,848,852,468,543,397,78,257,153,586,793,749,74,8,93,125,32,89,4,19,27,8,30,24,30,6,180,70,82,12,89,0,26,0
YDR519W_mRNA,309,249,222,149.99,142,132,20,51,44,189.15,241,244,0,0,26,28,2,28,0,4,4,0,22,7,7,0,56,14,18,4,25,0,2,1
YML074C_mRNA,677,839,699,287,396,317,58,166,126,434,634,594,64,22,89.09,127.22,38,113,11,53.02,81.32,28,77,20.01,44.04,24,261,112,158,46,59,0,35,1
YLR449W_mRNA,626,884,800,305,469,408,48,139,105,432,784,649,83,4,132.97,178,45,124,11,38.14,53.19,15,59,19,20,1,236,61.99,106,44,64,0,54,15
YLL043W_mRNA,168,173,169,85,102,92,18,39,32,128,186,156,6,0,23.05,23.05,0,6,0,12,12,0,13,3.02,9.06,6,30,9.01,15.02,6,20,0,0,8
YLL029W_mRNA,268,296,227,154,165,147,18,65,49,199,253,239,16,0,37,45,8,28,8,22.19,22.08,0,36,3,9,6,64,22,25,3,6,4,24,0
YGL220W_mRNA,149,238,183,125,126,97,28,50,43,158,211,239,4,0,5,7,2,12,0,4,4,0,8,0,0,0,46,8,18,10,0,0,12,0
YEL047C_mRNA,451,507,368,197,278,243.01,32,116,76,362,494,469,32,1,37.01,47.01,10,39,0,27,33,6,29,4,27,23,111,33,61,28,26,0,6,0
YLR214W_mRNA,514.99,781,768,240,237,188,111,400,311,369,720,617,18,0,78,82,4,54,0,26.98,31,4,49,4,28,24,150,79,114,35,41,0,30,0
YKL220C_mRNA,2,0,7,0,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YOR381W_mRNA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNR060W_mRNA,7,26,58,11,8,8,14,33,31,8,13,12,0,0,1,1,0,7,0,0,0,0,3,13,13,0,5,2,4,2,11,0,0,0
YOR384W_mRNA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YLL051C_mRNA,65,55,96,41,37,29,7,22,17,46,65,69,10,0,3,6,3,8,0,6,8,2,8,16.02,16.07,0,14,7,7,0,0,0,0,0
YOL152W_mRNA,117,153,117,42,45,107,17,87,61,85,287,254,0,0,29,29,0,12,0,0,0,0,0,0,0,0,26,23,26,3,0,0,0,0
YLR047C_mRNA,34,42,40,19,32,34,0,8,8,24,53,45,5,0,10,10,0,0,0,0,0,0,2,0,1,1,5,0,0,0,0,0,0,0
YPL141C_mRNA,107,98,73,66,50,57,5,15,13,51,111,82,15,20,5,5,0,11,5,3,3,0,13,16,16,0,39,14,20,6,10,0,8,0
YCL026C-A_mRNA,3,7,1,2,3,0,0,1,2,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR373W_mRNA,73,82,87,47,52,57,3,19,11,50,73,71,3,0,3,9,6,3,7,0,0,0,13,0,0,0,24,1,1,0,10,0,3,0
YLR060W_mRNA,1130,1306,1097,491,698,536,65,269,220,616,977,912,89,30,144,170,26,163,11,75,84,9,147,59,72,13,396,106,210,104,134,15,42,2
YFL022C_mRNA,1462,1736,1534,641,838,849,112,388,311,958,1368,1273,115,37,310.98,341.97,31,138,5,96,111,15,141,72.98,127.99,55,453,282.99,364.98,82,114,0,45,21
YOR324C_mRNA,50,42,57,26,43,21,1,7,17,36,59,40,6,0,9,15,6,11,0,5,5,0,0,0,0,0,21,3.1,7.17,4,0,0,0,0
YAL028W_mRNA,16,7,13,2,13,4,0,2,2,10,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
YOR271C_mRNA,526,565,421,226,254,235,43,140,81,388,560,465,39,6,105,120.97,16,84,7,29,43,14,95,94,94,0,127,88,131,43,21,0,39,4
YHR049W_mRNA,1054,979,885,545,576,556,34,165,150,619,862,778,72,0,106.95,136.85,30,116,1,36,40,4,61,30,41,11,221,69,120,51,113,4,32,0
YMR222C_mRNA,108,81,69,44.99,49,46,4,22,15,49,74,55,5,3,31,37,6,11,0,5,5,0,11,0,1,1,33,7,8,1,15,0,16,0
YOR280C_mRNA,54,47,37,31,23,35,3,6,7,24,43,33,4,0,4,4,0,13,0,2,2,0,8,0,0,0,8,0,9,9,0,0,0,0
YBR207W_mRNA,211,232,178,89,114,120,13,45,31,146,194,189,3,0,50.99,52,1,21,0,20,20,0,8,9,9,0,20,19.81,25.68,6,16,0,0,8
YER145C_mRNA,143,347,495,127,175,84,19,78,88,208,219,212,60,0,47,62,15,55,1,17,20,3,32,24.92,27.9,3,131,37,55,18,33,0,24,0
YCR076C_mRNA,50,64,44,32,44,26,4,5,16,31,37,47,4,0,11,11,0,6,0,11,11,0,0,0,4,4,25,15,22,7,1,0,12,0
YBL042C_mRNA,440,556,477,211,265,241,35,113,80,268,380,340,33,0,65.35,86.24,21,49,0,34,39,5,16,47,74,27,62,50,73,23,29,0,6,6
YPL262W_mRNA,882,805,611,378,502,489,42,141,144,577,788,792,83,13,122,152,30,105,10,30,34,4,34,0.97,15,14,197,40,75,35,76,3,62,1
YAL035W_mRNA,1346,1583,1210,562,824,657,102,355,288,894,1167,1120,100,33,236.84,277.36,41,125,24,68.91,84.99,16,97,68,85.19,18,277,107.18,169.23,62,113,0,49,0
YAL008W_mRNA,40,38,26,29,31,19,3,8,2,30.75,26,30,5,0,2,11,9,3,1,2,2,0,6,0,0,0,6,5,14,9,0,0,0,0
YAL034C_mRNA,6,7,4,8,4,4,0,1,1,5,7,7,0,0,1,1,0,3,0,1,1,0,6,0,0,0,2,0,0,0,0,0,0,0
YAL022C_mRNA,211,246,226,106,91,130,16,51,40,146,201,205,7,0,17,19,2,5,6,10.98,10.99,0,13,3,23.99,21,32,18,24,6,0,3,0,0
YAL019W_mRNA,135,146,131,65.41,62,57,16,30,26,87,106.76,118,10,0,29,31.04,3,12,4,11,17,6,6,4,4,0,53,12,17,5,1,0,14,0
YHR128W_mRNA,829,1062,877,328,570,527,36,253,183,688,1022,783,39,10,110,128,18,105,7,47,47.98,1,68,33,45,12,298,77,102,25,96,0,39,0
YBR021W_mRNA,103,122,88,54,59,67,6,26,12,61,89,78,0,0,8,13,5,14,0,10,10,0,11,0,0,0,22,0,1,1,9,0,7,0
YCL027W_mRNA,36,30,32,11,7,6,0,11,4,12,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3.09,3,0,0,0,0
YMR232W_mRNA,5,3,11,2,3,5,0,0,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YBL016W_mRNA,142,150,101,66,74,55,5,36,19,79,115,112,3,2,27.96,32.94,5,23,2,24,24,0,20,19,44,25,59,43,60,17,33,0,9,0
YDR024W_mRNA,1.01,1.01,0,0,0,2.01,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YIL097W_mRNA,52,29,42,15,32,31,6,5,8,26,48,42,0,0,8,11,3,3,0,0,0,0,0,0,0,0,6,10,10,0,0,0,0,0
YOR183W_mRNA,1.03,2.01,3.05,0,0,1.12,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YHR059W_mRNA,39,46,26,13,28,16,7,7,5,27,24,23,5,4,14,14,0,6,0,3,3,0,0,2,7,5,17,4,17,13,0,0,1,0
YCL058C_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YNL133C_mRNA,6,5,5,7,6,6,0,0,0,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
YLR068W_mRNA,30,11,4,0,9,2,5,1,0,7,5,9,0,0,0,1,1,6,0,1,1,0,0,0,0,0,5,0,4,4,0,0,0,0
YGR196C_mRNA,87,137,87,50,70,53,8,36,17,64,88,108,8,2,7,8,1,2,0,6,6,0,0,8,8,0,11,14,23,9,5,0,1,0
YGL254W_mRNA,93,82,76,56,51,43,3,6,11,70,108,97,6,0,4,4,0,0,0,0,4,4,5,0,0,0,3,3,3,0,0,0,0,0
YBR179C_mRNA,113,93,47,41,48,42,5,21,13,50,78,66,30,0,20,22,2,11,5,10,10,0,6,20,25,5,29,11,14,3,7,0,1,0
YLR088W_mRNA,364,337,254,101,137,161,15,56,37,218,289,243,20,7,17,23,6,9,0,31,32,1,36,9,9,0,38,16,25.99,10,9,0,12,0
YLR459W_mRNA,306,283,230,129,142,165,11,75,48,216,356,290,0,0,14,14,0,27,0,0,0,0,17,9,9,0,24,11,19,8,10,0,1,0
YOR178C_mRNA,4,5,1,5,5,2,0,1,0,2,2,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
YMR250W_mRNA,82,58,44,40,70,49,2,6,7,42,55,38,2,0,9,10,1,1,0,8.01,8.01,0,0,0,0,0,20,3,5,2,13,0,13,0
YBR020W_mRNA,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR019C_mRNA,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL051W_mRNA,173,165,174,96,86,69,22,66,27,97,174,102,0,0,23,23,0,16,0,11,11,0,8,11,11,0,62,11,20,9,3,0,5,0
YLR081W_mRNA,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDR009W_mRNA,10,4,5,7,6,6,0,3,0,3,12,15,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0
YPL248C_mRNA,8,9,10,1,3,1,0,1,1,3,9,6,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR018C_mRNA,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YML051W_mRNA,39,49,38,12,20,25,1,7,4,32,44,41,0,0,7,7,0,0,0,1,1,0,12,0,0,0,15,4,7,3,0,0,0,0
YER027C_mRNA,155,147,108,75,89,57,9,47,33,95,92,134,11,0,11,19,8,35,0,1,1,0,15,2.37,27.77,24,54,20.03,26.02,6,7,0,15,0
YKR039W_mRNA,669,906,744,244,411,402,42,218,211,449,579,461,50,3,150.79,174.68,24,60,6,54,68,14,112,3,26,23,223,150,206,56,6,0,19,0
YHR089C_mRNA,263,223,196,103,111,99,7,65,35,124,192,161,11,0,32,33,1,53,0,21,21,0,14,9,27,18,69,31,53,22,20,6,41,0
YMR307W_mRNA,7176,7940,6384,3047,4014,3711,448,1650,1267,5120,6759,6329,256,33,620.47,698.44,78,375,10,261,295,34,287,216,364,148,1276,502.91,741.86,239,295,2,163,2
YLR343W_mRNA,0,0,0,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YMR215W_mRNA,1022,1139,966,437,538,545,68,264,202,682,971,903,77,9,150,165,15,106,1,37,39,2,39,8,21,13,193,62,79,17,27,0,36,0
YOL132W_mRNA,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL030W_mRNA,818,862,714,443,546,476,56,149,145,564,870,746,51,7,147,187,40,45,2,81.99,92,10,64,39,73,34,218,70,128,58,65,11,34,1
YFL021W_mRNA,385,405,359,169,254,296,50,92,70,264,450,303,58,21,95.01,113.01,18,60,1,10.79,16.62,6,32,15,34,19,165,55,78,23,20,0,0,1
YMR136W_mRNA,42,53,43,29,33,23,4,7,9,27,46,54,8,8,11,13,2,6,0,5,5,0,0,0,0,0,14,7,9,2,16,1,1,0
YLR013W_mRNA,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
