,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YHR104W_mRNA,4937.92,14403.06,9989,11305.02,12717.3,10498.16,5497.97,3550,12871.59,12911.95,14109.57,10951.98,7894.76,11714.8,11424.76,14277.91,11763.25,9316.05,10720.67,11162.03,10930,12116.3
YDR517W_mRNA,4403.79,12764,9802.26,10294.01,13703.68,11001.95,5606.99,3656,11923.76,12940.03,8914.94,7692.94,6155.84,4677,7463,7846,9514.3,8705.91,10224,7673,7864,8048.93
YJR090C_mRNA,8995.09,18150.08,14966.46,15865.28,27537.38,18614.74,12137.65,6683,26045.62,24464.01,23198.72,21151.12,13349.14,16528.42,16724.81,21263.79,31810.83,23504.85,28744.97,18754.64,18733.04,21765.37
YBR121C_mRNA,43234.99,136006.34,85921.53,116835.01,131172.63,138309.79,63987.98,50771.84,126512.07,123849,91370.63,95685.2,67932.38,68199.64,65631.94,81409.24,135261.87,105487.09,126981.83,72021.59,81594.98,85193.53
YPR081C_mRNA,3096.12,6372,5394.08,5202.3,7441.81,4378.82,3437.19,1849,9945.19,8916.34,6188.99,4660,3977.68,6134.8,5850,7648.19,4747.23,3951.02,4284,6579.68,6739.98,7647
YCL035C_mRNA,4162.13,12602,6971,10733.99,10135.12,9839.98,4390.95,3570.07,11698.74,10864.84,4036,2579,2234,1963,3484.23,2899,3087,2860,3494,2797,2733,3690
YDR513W_mRNA,2790,7603.23,5762.92,6294.54,8746.83,6643.32,3943.67,2347.13,9047.62,8599.34,7061.01,7872.46,5057.9,6019,5599.01,7035.03,8484.56,6656.7,7546.12,5703.3,5687,6470.05
YDR098C_mRNA,4975.9,14199.02,8979.9,11554.99,14287,13124.03,6468,4990.05,14289.97,12916.5,9951.5,12049.84,7380.93,9414.02,9641.21,13289.4,14172.46,11444.81,14296.87,9078,9694.9,15297.4
YER174C_mRNA,2613.59,6492.98,4726,5102,7303.94,5292.89,3789.97,2352,7564.51,6526,7919,7607,4695,6847,6187,8684,8705.08,6979.03,7926.01,5745,7472.95,8109.01
YPL059W_mRNA,3177.06,10446.94,6583.15,8464.35,9220,9148.57,4218.29,3445,9740.57,8899.9,7850,9499.13,6217,5938,7041.12,7980.02,11111,8952.6,10224.29,7489,7789.99,8511.87
YDL010W_mRNA,2814,5261.99,4567.97,4611.61,7531.65,4862,3539,1765.93,9014.03,7857.02,6143,4970,3902,4525.15,5031.95,5704.45,7678,5526,6316,4897,5834.01,6503
YBR014C_mRNA,2650.99,7005,4720,5806,7583.98,6391.01,3542.86,2393.96,7911.97,7550.02,3010,2649,2289,2680,2905,3303.03,4903,3847,4328.85,3275,2945,4168.17
YLR364W_mRNA,474,1676,729,1394,1319,1433,486,492,1503,1354,692,635,510,574,617,548,813,656,731,686,831,708
YGR032W_mRNA,9665.41,23249.95,18117.45,18706.21,19719.04,11029.01,8022.06,4204.84,32390.76,32599.98,37768.22,30740.83,21808.12,44860.22,46044.81,55495.81,27039.01,22661.99,26117.83,42083.08,45352.87,50523.52
YML048W_mRNA,6752.03,22872.97,15479.03,18838.35,20933.4,20809.84,9131.2,7142.13,20330.88,20500.85,27308.27,26944.76,19468.05,20702.02,21279.39,26241.22,37071.27,29285.08,34043.07,24156.99,25743.05,28787.39
YJL101C_mRNA,6851,17942.41,13816.36,15141.46,17768.51,12735.55,8147.89,4623.92,19207.99,18808.75,15903.05,13682,10095.46,11770.98,12513.73,15001.27,16854.76,14116.09,16655.69,11813.08,13611.89,14160.89
YOL049W_mRNA,10259.24,32966.29,19882.98,27414.9,28556.7,29449.32,14143.05,12616.99,28382.08,26342.23,23690.91,22546.09,15964.81,18832.48,18701.99,22497,30958.99,24628.2,28768.97,20730,21044,23672.98
YJL103C_mRNA,1005,2220.79,1959.54,1863.49,2726,1779,1189.04,607,3611.3,3217.19,3624,2480,2068.46,3228,3208.99,4100.38,3631.39,2632,3098,2355.21,2979,3469
YLR293C_mRNA,28550.97,104237.19,62025.59,84702.14,103436.37,115419.91,47933.94,40101.16,91161.55,92070.13,86676.21,77566.09,61752.99,57436.29,66199.67,72384.28,137019.98,105089.26,125636.96,71443.4,81725.29,83044.17
