,T4816,T4816minus,T4819,T4819minus,T4869,T4869minus,T4870,T4870minus,T4902,T4903,T5017,T5019,T5020,T5033,T5034,T5035,T5041,T5042,T5043,T5334,T5337,T5338
YKR097W_mRNA,5.65,4.02,5.3,4.09,4.13,1.6,4.98,1.92,7.38,6.78,10.09,9.71,6.5,15.82,12.19,12.71,4.53,4.43,4.29,12.34,13.13,13.92
YNL289W_mRNA,144.29,46.37,129.33,43.97,175.81,39.89,141.61,41.33,156.8,151.8,133.79,97.66,86.83,110.84,120.64,122.25,138.94,144.42,128.43,115.33,101.69,112.27
YGL134W_mRNA,37.26,18.54,33.5,19.98,33.14,15.54,38.8,16.33,40.73,35.6,30.9,26.21,27.34,29.85,33.19,34.19,29.69,27.75,27.05,30.31,30.53,29.9
YDL127W_mRNA,34.36,14.43,27.49,14.86,37.2,16.88,29.96,17.37,37.91,33.95,53.37,39.41,34.22,40.35,44.88,40.32,60.49,59.33,55.27,41.6,39.97,35.22
YHR071W_mRNA,52.49,47.29,50.62,47.53,48.91,45.75,55.27,60.91,86.15,77.82,146.88,137,143.44,260.51,224.1,239.61,155.05,142.38,140.75,232.06,227.9,206.81
YER059W_mRNA,48.37,26.99,46.52,27.18,50.29,25.09,55.11,25.42,51.76,46.49,52.66,45.77,41.82,53.41,45.9,48.86,64.27,62.04,60.3,51.83,43.77,45.01
YIL050W_mRNA,46.16,25.91,38.83,27.3,44.36,25.23,42.04,24.68,33.53,29.53,39.97,29.84,31.99,42.3,42.12,42.33,40.74,38.52,36.56,37.65,33.58,35.27
YPL219W_mRNA,22.63,10.64,19.26,10.44,20.48,8.46,19.06,8.23,22.48,21.08,27.08,20.97,20.79,27.82,23.74,25.7,24.96,24.1,22.64,23.36,23.31,23.71
YDL179W_mRNA,109.13,51.52,96.49,52.3,89.71,41.87,95.49,43.56,112.47,95.07,167.83,123.12,119.94,150.56,147.88,146.45,149.86,164.46,143.15,146.59,139.51,117.7
YEL058W_mRNA,151.43,147.92,155.73,143.91,135.04,121.6,131.68,119.53,136.62,143.91,94.99,94.84,86.73,86.59,93.89,96.51,78.5,87.4,83.99,88.13,98.11,96.9
