,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YDR385W_mRNA,4475.92,2048.97,5454.27,3104.84,4764.02,1731.24,4532.68,3644.46,3943.06,4918.75,1819.76,5451.95,2275.87,5072.89,2799.43,2820.08,3258.25,5009.18,5009.85,4730.47,4067.06,2735.25,6480.07,5497.07,0.01,3345.83,0,6112.09,2511.74
YPL037C_mRNA,248.56,629.16,270.83,1481.32,448.32,1569.08,423.72,413.98,383.63,366.54,1194.18,267.1,1125.96,358.91,1097.52,459.66,1314,384.34,371.01,327.12,369.67,1222.66,346.7,297.13,107.81,730.66,315.11,701.22,1093.22
YHR193C_mRNA,414.19,1093.68,304.26,1029.82,450.35,1113.47,441.76,434.01,476.75,307.54,1018.98,330.11,832.42,442.44,947.73,427.1,1095.03,287.34,320.63,431.98,336.78,1234.39,299.64,237.04,0,137.84,872.36,814.88,1418.68
YNL327W_mRNA,189.18,239.1,168.2,278.84,162.11,272.48,172.22,191.09,165.53,176.5,226.07,125.13,223.72,177.06,227.63,449.71,340.84,563.74,505.52,309.71,209.89,314.56,387.06,367.44,286.2,373.01,105.95,97.37,204.8
YDR036C_mRNA,50.92,51.89,65.36,57.32,60.18,27.39,59.95,51.44,57.75,65.68,38.67,45.3,16.8,48.04,32.33,68.2,72.2,60.85,57.78,47.3,82.46,75.14,115.7,91.53,0,39.62,0,245.38,61.54
YBR177C_mRNA,71.33,193.55,122.21,104.41,109.4,165.27,111.36,123.13,156.74,105.19,205.93,118.35,167.44,128.49,105.05,386.86,160.21,209.16,193.51,140.81,170.77,148.39,250.36,227.78,139.22,157.26,448.22,374.29,249.92
YMR031C_mRNA,25.21,34.57,53.13,53.13,36.86,79.78,53.57,35.74,43.52,40.56,61.85,26.29,56.43,24.63,53.32,36.08,78.15,21.36,18.12,7.11,45.26,71.56,0,0,0,0,273,26.82,0
YDR147W_mRNA,13.52,57.23,16.1,23.52,16.41,10.59,28.53,21.16,25.68,26,34.9,16.93,9.1,24.24,10.94,27.1,20.66,6.47,17.4,53.39,42.09,19.94,0,0,0,0,0,90.65,0
YNL230C_mRNA,7.23,6.97,5.38,9.45,2.74,9.46,5.87,9.66,10.4,5.43,46.74,7.54,20.31,10.23,29.31,3.29,2.13,0,0,0,12.98,16.03,0,0,0,0,0,0,0
YPL046C_mRNA,16.9,0,14.67,89.19,3.2,66.97,11.43,9.68,26.75,2.54,91.93,13.22,67.11,15.95,46.11,0,50.23,0,0,0,0,50.43,0,0,0,0,0,0,0
YKL160W_mRNA,0,243.66,28.8,204.52,44.03,200.82,24.16,51.15,48.84,50.99,223.77,55.91,182.64,50.58,244.02,0,398.72,42.32,32.53,0,0,80.06,0,0,0,0,562.23,0,928.85
YOR144C_mRNA,17.99,3.84,11.4,29.5,9.85,44.3,7.57,8.77,8.63,11.41,25.76,4.17,24.62,6.6,34.99,3.64,17.59,17.41,13.25,0,21.53,8.83,0,0,0,0,0,0,0
YKL048C_mRNA,2.31,26.66,13.18,2.01,7.01,15.08,9.38,10.15,15.96,8.33,19.87,6.03,12.95,4.36,3.11,4.21,10.86,8.3,17,45.63,0,0,0,0,0,0,0,0,0
YJL196C_mRNA,204,37.54,205.97,84.83,143.64,44.59,141.88,171.49,174.71,166.34,15.74,227.97,16.41,171.87,59.21,48.67,22.93,144.71,120.12,38.36,93.03,0,18.71,59.2,208.57,21.42,0,0,0
YCR034W_mRNA,266.04,59.47,198.87,57.12,210.49,85.78,148.08,194.99,200.82,210.8,66.49,195.04,47.68,207.37,78.18,463.57,93.11,344.95,307.06,182.68,198.46,34.2,490.82,435.36,220.75,187.01,0,14.36,0
YLR372W_mRNA,222.74,135.96,270.64,103.5,243.48,101.99,183.74,257.88,240.35,274.33,192.01,236.18,162.7,210.17,210.69,446.34,122.41,372.27,470.07,791.49,191.08,120.69,501.31,541.29,690.75,180.06,0,82.95,57.29
YGR200C_mRNA,157.54,104.76,114.69,52.61,97.25,42.13,121.81,109.08,100.55,126.2,69.41,171.68,97.26,141.98,108.8,88.3,40.3,121.42,128.6,151.51,166.82,14.87,187.52,160.71,57.82,365.13,0,218.12,113.89
YPL086C_mRNA,161.24,70.76,156.43,71.34,154.44,59.11,133.89,104.73,144.89,167.4,82.16,154.9,53.95,141.47,83.95,131.41,98.1,135.29,129.97,111.69,186.24,87.63,109.3,181.58,445.39,162.15,39.07,200.15,0
YPL101W_mRNA,53.58,90.3,67.26,67.05,88.87,65.67,94.19,56.24,64.56,70.42,111.78,69.85,124.09,48.98,85.92,115.91,102.46,48,43.04,26.44,112.24,29.67,12.94,20.47,47.93,0,486.2,112.23,0
YMR312W_mRNA,37.34,61.9,51.59,116.58,48.54,49.02,43.29,50.91,42.98,46.47,69.21,36.17,114.28,40.27,50.63,82.61,116.6,12.71,14.65,21.06,121.33,39.55,82.13,64.97,0,0,0,79.47,0
YCL045C_mRNA,156.22,65.79,210.15,72.48,195.53,69.78,169.59,175.62,173.04,195.43,131.03,188.61,62.33,178.71,63.42,307.98,75.37,358.55,360.23,363.33,174.2,97.73,212.63,358.59,888.3,37.75,0,223.15,0
YJR088C_mRNA,160.49,189.34,215.58,116.7,190.99,122.67,197.75,174.42,147.53,148.65,192.45,220.87,70.25,136.72,126.7,231.46,107.79,212.63,179.78,70.41,272.17,145.16,412.37,326.23,0,235.9,401.6,16.6,252.63
YKL207W_mRNA,191.61,134.88,203.02,213.36,187.11,167.83,155.47,146.27,167.08,170.93,138.23,166.54,111.39,145.18,141.83,322.61,41.2,255.64,297.39,435.57,194.61,77.55,44.66,177.73,747.83,0,0,0,0
YGL231C_mRNA,68.1,73.5,80.68,119.58,103.27,219.49,94.13,93.86,84.91,59.09,188.99,51.29,137.11,46.41,340.05,130.94,323.28,90,76.16,29.87,36.23,101.42,87.06,68.88,0,66.73,52.76,0,0
YIL027C_mRNA,31.81,0,51.27,34.94,54.27,62.96,25.81,37.94,27.46,43,25.93,58.06,27.04,48.77,75.87,144.86,33.06,66.02,72.49,94.19,28.56,23.7,0,0,0,0,0,0,0
YLL014W_mRNA,72.53,101.22,89.93,219.6,78.57,343.51,81.27,75.14,77.52,68.48,169.76,37.82,141.63,87.99,198.69,75.5,185.52,0,65.87,286.37,62.02,682.89,0,0,0,0,0,0,54.02
YLR186W_mRNA,139.81,48.25,136.2,122.12,113.58,104.8,122.89,117.21,125.01,94.5,118.68,85.93,84.39,68.32,101.47,154.64,100.22,101.14,109.74,138,95.64,66.58,96.14,76.05,0,66.05,207.82,111.57,0
YDR512C_mRNA,0,0,15.38,21.73,9.41,32.63,6.71,10.65,8.92,5.59,26.87,3.23,0,8.78,33.7,0,3.67,0,0,0,0,9.21,0,0,0,0,0,0,0
YDR516C_mRNA,82.87,108.23,80,56.64,89.77,73.46,88.85,73.99,70.69,75.57,82.79,60.19,83.02,50.27,79.87,196.79,73.08,268.93,261.15,233.71,180.69,96.07,68.6,54.27,0,130.5,449.82,231.45,0
YGL200C_mRNA,543.38,440.35,622.56,398.05,633.67,534.35,582.28,447.62,508.67,652.92,492.32,624.13,342.29,564.64,411.59,833.25,240.49,702.73,678.3,597.46,617.53,317.12,897.95,856.62,689.15,181.97,0,589.13,391.68
YLR080W_mRNA,14.21,0,4.41,3.1,4.04,0,1.92,8.82,5.05,2.14,0,3.71,7.98,3.35,4.8,6.47,2.09,13.5,9.96,0,4.25,0,0,0,0,0,0,0,0
YFL048C_mRNA,91.03,51.95,101.99,70.44,76.69,52.89,88.45,75.92,86.34,102.29,94.39,107.25,64.36,82.71,86.5,141.26,89.27,72.48,65,39.93,64.57,79.66,117.14,92.67,0,29.73,0,25.11,0
YER140W_mRNA,18.28,10.04,20.72,18.16,25.74,37.5,17.66,11.46,21.79,27.45,8.42,27.24,32.21,28.34,0,16.65,6.14,37.47,31.2,10.31,6.25,3.85,0,0,0,0,0,48.62,0
YLR083C_mRNA,191.26,21.37,244.31,57.95,191.4,58.02,174.43,172.74,178.55,220.46,71.68,206.44,37.38,190.96,20.97,271.44,40.47,252.8,274.07,342.45,252.91,52.43,215.02,210.93,190.99,509.93,0,314.71,171.08
YNL313C_mRNA,172.28,81.06,201.04,64.48,181.86,48.42,161.25,120.88,138.52,175.04,68.88,220.2,51.04,161.76,45.46,110.77,46.55,351.08,340.68,153.38,131.42,29.83,369.36,326.41,24.17,104.26,0,295.62,0
YDR040C_mRNA,131.75,20.25,16.23,9.44,19.48,3.77,27.18,25.13,41.34,48.06,25.68,89.43,17.24,42.53,16.58,96.01,0,0,0,0,48.71,0,0,16.9,67.73,4.17,0,44.93,4.85
YDR039C_mRNA,0,60.69,86.45,37.75,90.5,45.26,106.97,63.26,57.95,47.77,27.51,5.29,36.64,21.24,39.44,46.18,53.25,0.04,97.56,173.75,48.71,17.75,0,13.29,67.73,4.17,0,44.93,4.85
YDR038C_mRNA,76.92,60.69,59.95,37.75,66.01,45.26,63.19,56.28,59.6,56.41,27.51,137.73,36.64,159.92,39.44,25.9,0,265.27,146.88,0,48.71,17.75,0,13.29,67.73,4.17,0,0,4.85
YOL158C_mRNA,18,0,15.94,2.23,56.53,16.78,13.21,24.53,9.62,34.75,2.76,13.41,2.88,8.49,3.47,4.68,1.51,3.1,2.37,0,27.7,3.79,69.56,55.03,0,0,0,0,0
