,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YOL159C_mRNA,9,0,37,1,27,2,35,41,32,24,6,16,1,16,4,6,5,0,2,2,10,0,4.99,4.98,0,24,0,5,0
YOL159C-A_mRNA,0,1,9,4,7,2,14,16,10,19,5,8,2,4,6,2,2,4,4,0,0,0,0,0,0,0,0,0,0
YOL160W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL162W_mRNA,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL163W_mRNA,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.78,0,0,0,0,0
YOL164W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
YOL166C_mRNA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOL166W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YPR028W_mRNA,114,39,390,100,254,99,312,567,310.58,289,100,152,117,194,63,192,253,139,163,24,165,145,26,33,7,4,0,37,13
YPR028W_pre-mRNA,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR008C-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR008W-B_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR011W-A_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR012W_mRNA,0,0,0,2,4,0,5,2.52,2,9,4,2,2,2,5,7,5,0,0,0,9,0,0,0,0,0,0,0,0
YOR015W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR019W_mRNA,0,0,0,2,0,0,0,0,1,0,1,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR020W-A_mRNA,0,2,5,3,8,3,3,6,3,4,3,2,0,2,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0
YOR022C_mRNA,0,5,13,8,10,2,10,34,16,15,5,2,10,4,4,8,15,0,0,0,7,7,0,0,0,0,0,0,0
YOR024W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOR029W_mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
