,QU5017_27-32nt,QU5017_37-43nt,QU5019_27-32nt,QU5019_37-43nt,QU5020_27-32nt,QU5020_37-43nt,QU5033_27-32nt,QU5034_27-32nt,QU5035_27-32nt,QU5334_27-32nt,QU5334_37-43nt,QU5337_27-32nt,QU5337_37-43nt,QU5338_27-32nt,QU5338_37-43nt,RU4816_27-32nt,RU4816_37-43nt,RU4816minus_20-23nt,RU4816minus_20-32nt,RU4816minus_27-32nt,RU4819_27-32nt,RU4819_37-43nt,RU4819minus_20-23nt,RU4819minus_20-32nt,RU4819minus_27-32nt,RU4902_27-32nt,RU4902_37-43nt,RU4903_27-32nt,RU4903_37-43nt
YJL162C_mRNA,5.47,0,3.86,14.16,4.08,19.01,3.99,5.3,4.73,2.64,15.07,0.91,13.91,5.16,27.9,0,10.93,0,0,0,0,12.8,62.9,50.34,0,0,0,0,0
YJR097W_mRNA,0,0,3.38,0,3.57,7.18,2.61,3.71,4.14,1.38,0,2.39,12.26,4.51,7.38,8.62,6.42,0,0,0,0,33.85,0,0,0,0,0,0,0
YLL057C_mRNA,0,0,1.73,0,0.92,3.66,2.01,1.43,1.42,0,0,0,0,4.63,3.76,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0
YMR132C_mRNA,20.92,0,24.64,0,23.45,18.83,16.03,12.99,12.08,15.75,4.98,18.86,21.43,3.95,12.9,18.87,8.42,4.92,15.21,50.48,0,0,0,0,0,17.21,0,0,0
YMR294W_mRNA,5.33,12.34,1.88,28.53,11.94,39.81,7.29,6.2,4.61,3.08,31.56,8,16.99,6.29,12.27,0,17.8,3.15,4.86,10.71,12.22,37.52,0,0,0,0,0,0,0
YJR091C_mRNA,17.55,40.46,15.08,51.03,11.19,67.57,16.38,20.64,20.56,17.63,53.57,16.03,60.29,19.5,47.33,17.69,63.19,14.68,17,24.91,14.21,39.81,51.57,41.28,0,4.25,0,0,38.58
YKR038C_mRNA,68.62,26.5,72.08,61.28,40.6,38.47,51.63,66.03,57.78,48.84,33.89,55.84,21.89,72.91,43.91,43.84,53.53,57.39,57.33,57.49,65.58,25.18,207.94,166.4,0,47.04,0,131.24,250.6
YBR017C_mRNA,91.19,64.28,126.51,108.09,101.74,69.75,94.6,94.14,106.39,131.99,91.17,116.7,99.74,97.48,96.83,99.38,112.13,121.49,118.1,106.96,100.21,159.92,14.59,81.74,350.3,46.88,259.02,174.39,110.51
YGL241W_mRNA,27.88,0,25.22,7.57,25.42,8.3,18.92,21.86,27.04,31.64,26.31,29.6,26.9,15.8,11.93,23.13,9.65,9.25,15.3,35.88,19.18,23.46,0,0,0,36.69,0,47.25,0
YPL125W_mRNA,34.79,22.56,39.7,28.45,38.59,29.11,41.94,37.34,36.09,36.19,38.47,41.92,44.17,42.1,33.23,18.63,23.87,27.05,23.86,13.12,22.44,28.58,16.71,26.74,66.82,4.47,0,111.31,0
YGL016W_mRNA,59.35,57.62,62.8,40.37,50.97,30.98,52.71,43.85,46.59,53.66,40.52,62.05,27.76,67.37,47.74,30.05,25.63,30.85,27.62,16.75,40.6,41.98,92.03,83.25,48,59.95,0,29.41,58.37
YER110C_mRNA,339.04,358.06,456.99,344.33,450.57,317.06,321.34,365.23,359.25,424.03,302.85,410.73,260.28,351.36,263.68,405.6,233.64,323.7,387.45,604.16,391.13,322.01,335.37,311.95,218.37,500.95,233.39,526.85,328.77
YLR347C_mRNA,166.98,186.69,202.73,215.52,170.36,204.56,160.6,175.23,153.13,171.78,204.63,214.83,177.84,194.09,121.77,159.87,166.74,228.17,225.37,216.94,215.05,223.02,236.62,256.48,335.52,100.36,0,90.7,0
YNL188W_mRNA,2.35,21.78,1.11,38.92,3.52,66.75,1.93,5.48,4.76,2.73,58.5,2.36,26.99,5.56,21.66,8.49,18.86,0,6.44,28.39,0,24.84,0,0,0,9.68,0,0,0
YJL034W_mRNA,557.4,200.89,614.05,164.21,623.56,177.6,618.83,589.63,591.05,737.3,215.02,694.59,192.54,644.33,212.04,472.24,211.46,455.95,540.3,829.23,467.39,189.48,576.07,610.08,742.63,351.13,412.22,830.43,130.65
